commit,line,message,time,ngram,leven,code,flag
-1104.0,-31810.0,-22.0,-210441.0,1.0,5105.0,216.0,3.0
-4000.0,-92460.0,-11.0,-27955.0,45.0,193.0,18.0,3.0
2212.0,44381.0,-60.0,23266288.0,4.0,257.0,16.0,3.0
0.0,0.0,-23.0,1618418.0,0.0,59.0,4.0,3.0
0.0,0.0,-23.0,1618418.0,7.0,107.0,7.0,3.0
0.0,0.0,-23.0,1618418.0,14.0,437.0,40.0,1.0
1049.0,21677.0,51.0,4976528.0,0.0,404.0,17.0,3.0
1049.0,21677.0,51.0,4976528.0,15.0,386.0,14.0,2.0
0.0,0.0,23.0,-35420.0,4.0,22.0,5.0,3.0
0.0,0.0,23.0,-35420.0,72.0,15.0,8.0,2.0
0.0,0.0,-18.0,-24480.0,0.0,57.0,6.0,3.0
0.0,0.0,-5.0,-4764.0,26.0,41.0,5.0,3.0
0.0,0.0,14.0,-9912.0,8.0,85.0,6.0,3.0
0.0,0.0,49.0,-9712.0,28.0,60.0,11.0,2.0
0.0,0.0,49.0,-9712.0,8.0,312.0,25.0,2.0
-1930.0,-43351.0,6.0,-3774927.0,18.0,52.0,5.0,1.0
0.0,0.0,24.0,2034023.0,3.0,137.0,15.0,3.0
0.0,0.0,-36.0,13010.0,0.0,599.0,26.0,3.0
1382.0,34374.0,37.0,6779796.0,33.0,10.0,4.0,3.0
0.0,0.0,-18.0,3470865.0,25.0,338.0,32.0,3.0
0.0,0.0,-8.0,305891.0,77.0,37.0,11.0,3.0
2427.0,79354.0,-23.0,-6934.0,72.0,15.0,4.0,3.0
1966.0,71053.0,-1.0,-186299.0,38.0,144.0,6.0,3.0
2352.0,78074.0,33.0,-5000.0,80.0,10.0,6.0,2.0
2863.0,94980.0,12.0,17382224.0,25.0,38.0,6.0,3.0
2863.0,94980.0,12.0,17382224.0,73.0,14.0,4.0,3.0
-2.0,-208.0,0.0,0.0,36.0,271.0,48.0,1.0
-2.0,-208.0,0.0,0.0,67.0,444.0,104.0,1.0
2306.0,76974.0,-36.0,13535897.0,0.0,21813.0,478.0,3.0
2306.0,76974.0,-36.0,13535897.0,5.0,174.0,17.0,3.0
2799.0,93564.0,-54.0,4404370.0,37.0,86.0,8.0,3.0
2793.0,93222.0,-33.0,-1777.0,9.0,257.0,12.0,3.0
1657.0,61460.0,0.0,626.0,100.0,0.0,5.0,1.0
505.0,13059.0,-5.0,2135582.0,1.0,49.0,6.0,3.0
505.0,13059.0,-5.0,2135582.0,7.0,401.0,33.0,3.0
505.0,13059.0,-5.0,2135582.0,87.0,28.0,6.0,3.0
2344.0,81932.0,-17.0,5458.0,4.0,30.0,6.0,3.0
1879.0,68638.0,-8.0,152437.0,2.0,23.0,5.0,3.0
1879.0,68638.0,-8.0,152437.0,6.0,1244.0,36.0,3.0
309.0,9036.0,47.0,-36434.0,42.0,6.0,4.0,3.0
1284.0,51177.0,-41.0,2064.0,30.0,25.0,4.0,3.0
1284.0,51177.0,-41.0,2064.0,51.0,13.0,4.0,3.0
2061.0,73282.0,-13.0,8153759.0,1.0,227.0,18.0,3.0
2061.0,73282.0,-13.0,8153759.0,15.0,39.0,5.0,3.0
2045.0,73102.0,2.0,7143495.0,17.0,577.0,44.0,3.0
2045.0,73102.0,2.0,7143495.0,69.0,16.0,11.0,3.0
-1962.0,-71528.0,35.0,38153.0,87.0,3.0,4.0,3.0
1955.0,71360.0,0.0,472494.0,29.0,14.0,4.0,3.0
1835.0,67695.0,-42.0,100341.0,14.0,54.0,8.0,3.0
1836.0,67793.0,-1.0,2590.0,21.0,21.0,4.0,3.0
0.0,506.0,-13.0,-1603775.0,10.0,117.0,27.0,2.0
0.0,506.0,-13.0,-1603775.0,31.0,65.0,4.0,3.0
0.0,506.0,-13.0,-1603775.0,11.0,126.0,9.0,2.0
0.0,506.0,-13.0,-1603775.0,11.0,279.0,17.0,2.0
0.0,506.0,-13.0,-1603775.0,0.0,95.0,8.0,3.0
